[2020-07-20 08:10:09] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-07-20 08:10:10] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2020-07-20 08:10:11] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-620767488]
[2020-07-20 08:10:11] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-629160192]
[2020-07-20 08:10:31] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-07-20 08:10:33] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2020-07-20 08:10:33] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-922773760]
[2020-07-20 08:10:33] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-1342179584]
[2020-07-20 08:10:49] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-07-20 08:10:51] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2020-07-20 08:10:51] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-436226304]
[2020-07-20 08:10:51] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-427833600]
[2020-07-20 08:12:14] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-07-20 08:12:15] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2020-07-20 08:12:15] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[1124062976]
[2020-07-20 08:12:15] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[1115670272]
[2020-07-20 08:24:38] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-07-20 08:24:40] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2020-07-20 08:24:40] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-1442859264]
[2020-07-20 08:24:40] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-1451251968]
[2020-07-20 08:26:19] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-07-20 08:26:21] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2020-07-20 08:26:21] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[1988085504]
[2020-07-20 08:26:21] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[1979692800]
[2020-07-20 08:27:35] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-07-20 08:27:36] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2020-07-20 08:27:36] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-1064597760]
[2020-07-20 08:27:36] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-1275070720]
[2020-07-20 08:28:10] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-07-20 08:28:12] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2020-07-20 08:28:12] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-1484790016]
[2020-07-20 08:28:12] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-1476397312]
[2020-07-20 08:31:55] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-07-20 08:31:56] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2020-07-20 08:31:56] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-1006635264]
[2020-07-20 08:31:56] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-590309632]
[2020-07-20 08:37:16] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-07-20 08:37:16] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2020-07-20 08:37:16] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-1794152704]
[2020-07-20 08:37:16] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-1802545408]
[2020-07-21 06:41:15] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-07-21 06:41:15] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2020-07-21 06:41:15] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[1892636416]
[2020-07-21 06:41:15] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[1476392704]
[2020-07-21 06:45:27] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-07-21 06:45:28] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2020-07-21 06:45:28] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-184576256]
[2020-07-21 06:45:28] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-603982080]
[2020-07-21 06:48:37] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-07-21 06:48:39] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2020-07-21 06:48:39] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[1434429184]
[2020-07-21 06:48:39] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[1442821888]
[2020-07-21 06:56:41] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-07-21 06:56:43] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2020-07-21 06:56:43] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-83896576]
[2020-07-21 06:56:43] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-92289280]
[2020-07-21 07:02:12] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-07-21 07:02:13] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2020-07-21 07:02:13] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-1795188992]
[2020-07-21 07:02:13] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[2080372480]
[2020-07-21 07:04:48] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-07-21 07:04:49] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2020-07-21 07:04:49] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-1895835904]
[2020-07-21 07:04:49] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-1904228608]
[2020-07-21 07:05:11] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-07-21 07:05:12] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2020-07-21 07:05:12] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-1593862400]
[2020-07-21 07:05:12] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-2013268224]
[2020-07-21 07:06:15] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-07-21 07:06:16] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2020-07-21 07:06:16] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-860887296]
[2020-07-21 07:06:16] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-1342179584]
[2020-07-21 07:06:38] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-07-21 07:06:40] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2020-07-21 07:06:40] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[1459607296]
[2020-07-21 07:06:40] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[1468000000]
[2020-07-21 07:07:14] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-07-21 07:07:15] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2020-07-21 07:07:15] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[671086336]
[2020-07-21 07:07:15] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[662693632]
[2020-07-21 07:07:57] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-07-21 07:07:59] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2020-07-21 07:07:59] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[2122303232]
[2020-07-21 07:07:59] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[2113910528]
[2020-07-21 07:08:53] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-07-21 07:08:55] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2020-07-21 07:08:55] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-1375750400]
[2020-07-21 07:08:55] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-1367357696]
[2020-07-21 07:10:13] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-07-21 07:10:14] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2020-07-21 07:10:14] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-427833600]
[2020-07-21 07:10:14] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-436226304]
[2020-07-21 07:13:03] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
